type;auteur;annee;lien;titre;
thèse;Q. Du;2019;https://theses.fr/2020SORUS040;Sequential Monte Carlo and Applications in Molecular Dynamics;
thèse;D.N. Tran;2020;https://theses.fr/2020PESC1040;Tropical dynamic programming in multistage stochastic optimization;
thèse;V. Cohen;2020;https://theses.fr/2020PESC1034;Integer programming for influence diagrams and airline maintenance problems;
thèse;F. Marazzato;2020;https://theses.fr/2020PESC1001;Discrete element and time-integration methods forelasto-plasticity and dynamic cracking;
thèse;F. Plesse;2020;https://theses.fr/2020PESC1003;Intégration de Connaissances aux Modèles Neuronaux pour la Détection de Relations Visuelles Rares;
thèse;O. Bencheikh;2020;https://theses.fr/2020PESC1030;Analyse de l'erreur faible de discrétisation en temps et en particules d'équations différentielles stochastiques non linéaires au sens de McKean;
thèse;W. Margheriti;2020;https://theses.fr/2020PESC1036;Sur la stabilité du problème de transport optimal martingale;
thèse;R. Milani;2020;https://theses.fr/2020PESC1037;Schémas de discrétisation Compatible Discrete Operator pour les équations de Navier–Stokes d’un fluide incompressible en régime instationnaire;
thèse;M. Ramil;2020;https://theses.fr/2020PESC1038;Processus cinétiques dans les domaines à bord et quasi-stationnarité;
thèse;S. Siraj-Dine;2020;https://theses.fr/2020PESC1039;Dynamics of electrons in 2D materials;
thèse;D. Kadnikov;2020;https://theses.fr/2020PESC1045;Jeux sous forme intrinsèque avec le modèle de Witsenhausen;
thèse;A. Miraci;2020;https://theses.fr/2020SORUS178;Adaptive control of iterative solvers;
thèse;E. Kahn;2021;https://theses.fr/2021ENPC0016;Inégalités fonctionnelles, comportement en temps long et matrices aléatoires;
thèse;S. Deschamps;2021;https://theses.fr/2021ENPC0029;Modèles de demande et optimisation du programme des vols d'une compagnie aérienne;
thèse;A. Le Franc;2021;https://theses.fr/2021ENPC0031;Optimisation stochastique de systèmes énergétiques urbains avec prise en compte du risque;
thèse;A. Touboul;2021;https://theses.fr/2021ENPC0017;Model of margin, margin sensitivity analysis and uncertainty quantification in graphs of functions in complex industrial systems;
thèse;S. Mehalla;2021;https://theses.fr/2021ENPC0022;Modélisation de volatilité et de risques de crédit pour l'assurance : aspect numérique et calibration;
thèse;D. Dronnier;2021;https://theses.fr/2021ENPC0025;Etudes des modèles d'épidémies sur les grands graphes denses;
thèse;T. Martin;2021;https://theses.fr/2021ENPC0041;Stochastic optimisation for the procurement of crude oil in refineries;
thèse;T. Bittar;2021;https://theses.fr/2021ENPC2004;Stochastic optimization of maintenance scheduling: blackbox methods, decomposition approaches - Theoretical and numerical aspects;
thèse;R. Benda;2021;https://theses.fr/2021IPPAX089;Modélisation multi-échelle de nano-capteurs à base de nanotubes de carbone et de polymères conjugués pour la qualité de l’eau;
thèse;C. Henin;2021;https://theses.fr/2021LYSEI058;Expliquer et justifier les systèmes de décisions algorithmiques;
thèse;A. Cherchali;2021;https://theses.fr/2021PESC1102;Modélisation et méthodes numériques pour la gestion actif/passif;
thèse;R. Coyaud;2021;https://theses.fr/2021PESC1103;Etude de méthodes déterministes et stochastiques pour le transport optimal;
thèse;Z. Belkacemi;2022;https://theses.fr/2022ENPC0030;Méthodes d'apprentissage en simulation moléculaire;
thèse;I. Sekkat;2022;https://theses.fr/2022ENPC0031;Inférences bayésiennes en grande dimension;
thèse;G. Dalle;2022;https://theses.fr/2022ENPC0047;Apprentissage statistique et algorithmes d'optimisation combinatoire, avec des applications à la planifica tion ferroviaire;
thèse;M. R. Blel;2022;https://theses.fr/2022ENPC0025;Techniques de réduction de modèles pour des problèmes stochastiques;
thèse;R. Goudey;2022;https://theses.fr/2022ENPC0032;Problèmes d'homogénéisation elliptique en présence de défauts;
thèse;H. Madmoun;2022;https://theses.fr/2022ENPC0037;Construction de stratégies d'investissement en utilisant des algorithmes de Machine Learning;
thèse;M. Nassif;2022;https://theses.fr/2022ENPC0039;Arbres aléatoires : asymptotique de fonctionnelles et limites locales;
thèse;M. Forcier;2022;https://theses.fr/2022ENPC0040;Optimisation stochastique multi-étapes et géométrie polyédrale;
thèse;G. Kemlin;2022;https://theses.fr/2022ENPC0042;Analyse numérique pour la théorie de la fonctionnelle de densité;
thèse;C. Vessaire;2022;https://theses.fr/2022ENPC0044;Conception et gestion de l'exploitation des champs pétroliers en tenant compte des incertitudes liées aux observations partielles;
thèse;I. Niakh;2022;https://theses.fr/2022ENPC0045;Réduction de modèle pour les inéquations variationnelles;
thèse;J. Cauvin Vila;2023;https://theses.fr/2023ENPC0050;Systèmes de diffusion croisée sur des domaines à frontières mobiles;
thèse;H. Langlois;2023;https://theses.fr/2023ENPC0045;Noyaux et quasi-noyaux dans les graphes orientés;
thèse;C. Hardy;2023;https://theses.fr/2023ENPC0009;Estimation and testing of mixtures of Hilbert-valued features issued from a continuous dictionary;
thèse;R. Biezemans;2023;https://theses.fr/2023ENPC0029;Multiscale methods: non-intrusive implementation, advection-dominated problems and related topics;
thèse;S. Piccardo;2023;https://theses.fr/2023ENPC0036;Simulation of two-fluid immiscible Stokes flows using hybrid nonconforming methods and geometrically unfitted meshes;
thèse;M. Steins;2023;https://theses.fr/2023ENPC0039;An explicit hybrid high-order method for structural dynamics;
thèse;Y. Conjungo Taumhas;2023;https://theses.fr/2023ENPC0042;Calculs de criticité en neutronique : réductions de modèles et estimateurs d'erreur à postériori;
thèse;R. Flenghi;2023;https://theses.fr/2023ENPC0051;Theoréme de la limite centrale pour des fonctionelles non linéaires de la mesure empirique et pour le rééchantillonnage stratifié;
thèse;T. Pigeon;2023;https://theses.fr/2023ENSL0070;Méthodes d'échantillonage d'évènements rares et machine learning pour l'étude des mécanismes de réaction catalytiques;
thèse;M. Fuente Ruiz;2023;https://theses.fr/2023SORUS060;Méthodes tensorielles adaptatives pour problèmes haute dimensionnelles;
thèse;L. Vidal;2024;https://theses.fr/2024ENPC0015;Méthodes de réduction de modèles pour la physique et la chimie quantiques;
thèse;N. Vadillo Fernandez;2024;https://theses.fr/2024ENPC0016;Risk valuation for weather derivatives related to the energy market;
thèse;N. Lichtle;2024;https://theses.fr/2024ENPC0030;Stabilization and control of dynamic systems: from classical methods to reinforcement learning;
thèse;A. Kirsch;2024;https://theses.fr/2024ENPC0031;Analyse mathématique et numérique de méthodes de plongement en mécanique quantique;
thèse;E. Letournel;2024;https://theses.fr/2024ENPC0032;Theoretical and numerical analysis of static and dynamical models in electronic structure calculation;
thèse;H. Andres;2024;https://theses.fr/2024ENPC0044;Modélisation et validation des scénarios économiques monde-réel en assurance : Prise en compte des propriétés trajectorielles;
thèse;R. Santet;2024;https://theses.fr/2024ENPC0045;Fondations et optimisation d'échantillonneurs de Langevin;
thèse;L. Bouvier;2024;https://theses.fr/2024ENPC0046;Apprentissage structuré et optimisation combinatoire : contributions méthodologiques et routage d'inventaire chez Renault;
thèse;L-P. Chaintron;2024;https://theses.fr/2024ENPC0047;Dynamiques contraintes en dimensions finie et infinie, approche par la théorie des grandes déviations et du contrôle;
thèse;J. Weibel;2024;https://theses.fr/2024ORLE1031;Graphons de probabilités, limites de graphes pondérés aléatoires et chaînes de Markov branchantes cachées;
thèse;K. Lefki;2024;https://theses.fr/2024UEFL2066;Atomes d'un opérateur positif sur Lp et application à l'étude des équilibres d'un modèle SIS infini-dimensionnel;
thèse;L-A. Sellem;2024;https://theses.fr/2024UPSLM032;Bosonic qubits and quantum reservoirs: taming the environment;
thèse;E. Lombardo;2024;https://theses.fr/2025ENPC0011;Approximation and regularity results for the Heston model and related processes;
thèse;E. Lombardo;2025;https://theses.fr/2025ENPC0011;Approximation and regularity results for the Heston model and related processes;
thèse;Z. Fornier;2025;https://theses.fr/2025ENPC0017;Stochastic optimization for complex systems with renewable energy;
thèse;L. Baty;2025;https://theses.fr/2025ENPC0022;Combinatorial optimization and decision-focused learning: algorithms, implementations, and applications at Air France;
thèse;Z. Wang;2025;https://theses.fr/2025ENPC0024;Schémas numériques efficaces pour les équations d’évolution avec singularités et chocs;
thèse;R. Mottier;2025;https://theses.fr/2025ENPC0034;Hybrid high-order methods for the numerical simulation of elasto-acoustic wave propagation;
thèse;R. Lefgoum;2025;https://theses.fr/2025ENPC0035;Stochastic optimization fordesign and management of hydrogen supply chains;
thèse;S. Ruget;2025;https://theses.fr/2025ENPC0036;Effective approximations for multiscale PDEs based on limited information;
thèse;A. Lefort;2025;https://theses.fr/2025ENPC0044;Multiscale approaches for reaction-diffusion equations and applications;
thèse;E. Loko;2025;https://theses.fr/2025ENPC0053;Analyse de la stabilité des systèmes de dimension infinie et effets des perturbations : théorie et applications;
thèse;N. Blassel;2025;https://theses.fr/2025ENPC0057;Analyse et échantillonnage de dynamiques métastables et hors d'équilibre;
thèse;C. Martinez Parra;2025;https://theses.fr/2025ENPC0060;Valeurs d’usage dans un système multinœuds pour des études prospectives en énergie;
thèse;A. Kabalan;2025;https://theses.fr/2025ENPC0061;Model-order reduction for nonparametrized geometrical variability with application to aeronautics simulation;
thèse;K. Shao;2025;https://theses.fr/2025UPSLD004;Martingale optimal transport and graphon mean fieldgames;
thèse;R. Vanlaere;2025;https://theses.fr/2025UPSLD048;Propriétés de contrôlabilité de l’équation de la chaleur sur des variétés sous-riemanniennes;
thèse;V. Pinto De Pina Ferreira;2025;https://theses.fr/s341936;Optimisation sous incertitude de la gestion opérationnelle d'un système hybride de production électrique;
thèse;S. Darshan;2025;https://theses.fr/s346960;Analyse et simulation des quelques modèles de système des particules en interaction hors d'équilibre;
