type;auteur;annee;lien;titre;
thèse;T. Salset;1997;https://theses.fr/1997ENPC9711;Correction séquentielle de programmes parallèles dans le modèle asynchrone et mémoire partagée;
thèse;R. Keriven;1997;https://theses.fr/1997ENPC9726;Equations aux dérivees partielles, évolutions de courbes et de surfaces et espaces d'échelle : Applications à la vision par ordinateur;
thèse;M. Tolentino;1997;https://theses.fr/1997ENPC9727;Résolution hautes fréquences d'équations intégrales par une méthode de discrétisation microlocale;
thèse;F. Bonnet;1997;https://theses.fr/1997NICE5105;Résolutions efficaces pour le système de Maxwell instationnaire;
thèse;G. Trombettoni;1997;https://theses.fr/1997NICE5213;Algorithmes de maintien de solution par propagation locale pour les systèmes de contraintes;
thèse;J.-F. Delmas;1997;https://theses.fr/1997PA066061;Quelques propriétés des superprocessus;
thèse;A. Toubol;1997;https://theses.fr/1997PA077338;Etude de quelques modèles de systèmes désordonnés;
thèse;H. Oppenheim;1997;https://theses.fr/1997PA090023;Ondelettes et multifractals : Application à une fonction de Riemann en dimension 2;
thèse;F. Séverin;1998;;Etude de la modélisation de décharges sous vide et simulation;
thèse;S. Lala;1998;;Approximation géométrique des équations de l'électrodynamique;
thèse;N. Percovic;1998;;Recherche arborescente parallèle et séquentielle pour les problèmes de satisfaction de contraintes;
thèse;B. Jourdain;1998;https://theses.fr/1998ENPC9805;Sur l'interprétation probabiliste de quelques équations aux dérivées partielles non linéaires;
thèse;G. Caplain;1998;https://theses.fr/1998ENPC9810;Propriétés de correction séquentielle dans un langage parallèle à mémoire partagée;
thèse;E. Cancès;1998;https://theses.fr/1998ENPC9815;Simulation moléculaire et effets d'environnement - Une perspective mathématique et numérique;
thèse;F. Alliot;1998;https://theses.fr/1998ENPC9824;Etude des équations stationnaires de Stokes et Navier-Stokes dans des domaines extérieurs;
thèse;J.-F. Gerbeau;1998;https://theses.fr/1998ENPC9827;Modélisation mathématique et analyse numérique de l'électrolyse de l'aluminium;
thèse;S. Demphlous;1998;https://theses.fr/1998NICE5269;Gestion de la persistance au sein de systèmes réflexifs à objets;
thèse;R. Monneau;1999;https://theses.fr/1999PA066350;Problèmes de frontières libres dans les équations aux dérivées partielles;
thèse;A. Quadrat;1999;https://theses.fr/1999ENPC9921;Arbres éliminatifs en théorie du contrôle et en mécanique théorique;
thèse;M. Bostan;1999;https://theses.fr/1999ENPC9917;Schémas numériques pour la résolution du système de Vlasov-Maxwell;
thèse;M. Clerc;1999;https://theses.fr/1999EPXX0023;Identification de systèmes non-stationnaires;
thèse;D. Hirschkoff;1999;;Preuves de propriétés sémantiques d'un langage parallèle dans un méta-système logique;
thèse;R. Zhang;1999;;Couverture Approchée des Options Européennes;
thèse;M. Jaume;1999;https://theses.fr/1999ENPC9901;Contributions à la sémantique de la programmation logique;
